source_file,report_date,campaign_id,campaign_name,impressions,clicks,spend,channel,source_system
Amazon_ads_2024_Jul.csv,7/13/2024,414614491352187,Car seat Phrase,467,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/14/2024,414614491352187,Car seat Phrase,440,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/16/2024,414614491352187,Car seat Phrase,446,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/18/2024,414614491352187,Car seat Phrase,444,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/20/2024,414614491352187,Car seat Phrase,420,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/22/2024,414614491352187,Car seat Phrase,432,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/24/2024,414614491352187,Car seat Phrase,445,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/25/2024,414614491352187,Car seat Phrase,446,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/27/2024,414614491352187,Car seat Phrase,449,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/29/2024,414614491352187,Car seat Phrase,431,4,4.08,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/2/2024,527890016640710,Car Seat AUTO (up&down),220,4,4.45,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/3/2024,527890016640710,Car Seat AUTO (up&down),213,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/9/2024,527890016640710,Car Seat AUTO (up&down),200,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/15/2024,527890016640710,Car Seat AUTO (up&down),254,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/21/2024,527890016640710,Car Seat AUTO (up&down),223,4,4.33,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/1/2024,450210495476170,Car Seat Research,105,4,4.2,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/10/2024,285108878123118,Car Seat (Coupons),489,4,5.56,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/30/2024,301847249119561,Car Seat AUTO (down),119,4,4.09,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/3/2024,530854449844448,Car Seat Low Bid,707,4,2.8,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/8/2024,530854449844448,Car Seat Low Bid,709,4,3.64,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jul.csv,7/15/2024,530854449844448,Car Seat Low Bid,595,4,2.8,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/19/2024,511193444289432,Car Seat TOP,185,4,5.16,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/5/2024,527890016640710,Car Seat AUTO (up&down),599,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/6/2024,527890016640710,Car Seat AUTO (up&down),531,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/12/2024,527890016640710,Car Seat AUTO (up&down),631,4,4.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/12/2024,301847249119561,Car Seat AUTO (down),118,4,4.2,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/18/2024,301847249119561,Car Seat AUTO (down),100,4,4.2,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/9/2024,530854449844448,Car Seat Low Bid,423,4,2.68,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/14/2024,530854449844448,Car Seat Low Bid,444,4,2.68,Amazon Ads,Amazon Ads
Amazon_ads_2024_Jun.csv,6/21/2024,530854449844448,Car Seat Low Bid,459,4,2.68,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/21/2024,459510910770649,B0CV4M7TK2 - Dog Car Seat - SB - Video - Store,243,4,6.18,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/1/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,294,4,2.96,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/3/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,321,4,2.96,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/7/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,354,4,2.96,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/9/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,321,4,2.96,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/10/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,336,4,2.96,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/5/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4379,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/7/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4561,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/9/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4508,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/11/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4409,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/13/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4385,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/15/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4379,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/17/2024,461511365790334,B0CV4M7TK2 - Dog Car Seat - SB - Video - black - Cat,4379,4,6.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/5/2024,541524601151621,B0CV4M7TK2 - Dog Car Seat - SB - Video - Store - br,144,4,6.36,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/23/2024,541524601151621,B0CV4M7TK2 - Dog Car Seat - SB - Video - Store - br,144,4,6.36,Amazon Ads,Amazon Ads
Amazon_ads_2024_Nov.csv,11/15/2024,537028156932336,B0CV4M7TK2 - Dog Car Seat - Med,249,4,2.72,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/7/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,447,4,2.76,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/14/2024,420806004761437,B0CV4M7TK2 - Dog Car Seat - Low - small,341,4,2.76,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/18/2024,284704071832760,B0CV4M7TK2 - Dog Car Seat - PDA - ST,113,4,2.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/22/2024,284704071832760,B0CV4M7TK2 - Dog Car Seat - PDA - ST,165,4,2.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/23/2024,284704071832760,B0CV4M7TK2 - Dog Car Seat - PDA - ST,98,4,2.58,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/25/2024,284704071832760,B0CV4M7TK2 - Dog Car Seat - PDA - ST,89,4,2.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/27/2024,284704071832760,B0CV4M7TK2 - Dog Car Seat - PDA - ST,125,4,2.44,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/8/2024,335797850944975,B0CV4M7TK2 - Dog Car Seat - Low - dogs,431,4,2.76,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/19/2024,322524994486312,B0CV4M7TK2 - Dog Car Seat - tpk - dog carriers for small dogs - low bids - ex,251,4,1.48,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/27/2024,322524994486312,B0CV4M7TK2 - Dog Car Seat - tpk - dog carriers for small dogs - low bids - ex,226,4,1.48,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/8/2024,307985936326342,B0CV4M7TK2 - Dog Car Seat - Low - bag,38,4,2.32,Amazon Ads,Amazon Ads
Amazon_ads_2024_Oct.csv,10/20/2024,523401438452724,B0CV4M7TK2 - Dog Car Seat - PDA - Competitors,533,4,2.48,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/27/2024,335797850944975,B0CV4M7TK2 - Dog Car Seat - Low - dogs,227,4,2.85,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/29/2024,335797850944975,B0CV4M7TK2 - Dog Car Seat - Low - dogs,258,4,2.76,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/3/2024,378683676920813,SD Car Seat (Coupons),3464,4,3.38,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/5/2024,378683676920813,SD Car Seat (Coupons),3546,4,3.28,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/11/2024,378683676920813,SD Car Seat (Coupons),3464,4,3.28,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/15/2024,378683676920813,SD Car Seat (Coupons),3654,4,3.28,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/1/2024,527890016640710,Car Seat AUTO (up&down),394,4,6.16,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/2/2024,527890016640710,Car Seat AUTO (up&down),390,4,6.16,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/6/2024,527890016640710,Car Seat AUTO (up&down),354,4,6.16,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/10/2024,527890016640710,Car Seat AUTO (up&down),354,4,6.16,Amazon Ads,Amazon Ads
Amazon_ads_2024_Sep.csv,9/14/2024,527890016640710,Car Seat AUTO (up&down),401,4,6.16,Amazon Ads,Amazon Ads
